Accessed on Wed Sep 14 2016 13:32:48 GMT-0700 (PDT)
 
×

150 Owners Of Gevangenis Prison
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"SUNFLOW UNLIMITED"
COMPLETION
 Zoe TwoDots	A+	2×	25/70	  GET
 Ms. Marie Mac	A+	4×	46/70	  GET
 Amanda Ilovecatcards	A+	3×	40/70	  GET
 Rynn Hanna	A+	4×	48/70	  GET
 Speedygirl	A	5×	38/70	  GET
 Hazydream	A+	6×	55/70	  GET
 Dogmom	A+	5×	46/70	  GET
 Micah Kim-Bustillos	A+	3×	19/70	  GET
 Aria DuFreak	A+	6×	61/70	  GET
 Alejandro Serrano	A+	6×	52/70	  GET
 Neoncard Deals	A+	2×	16/70	  GET
 Elizabeth says There'sNoPlaceLikeOldNM	C-	7×	52/70	  GET
 Stravabro	B	2×	32/70	  GET
 Adam McFall	A+	2×	34/70	  GET
 Wumbo Boodoodoodoo	A+	2×	42/70	  GET
 Kowaiixia	A+	4×	33/70	  GET
 spooningbards	A+	8×	52/70	  GET
 Aivel :)	A+	3×	48/70	  GET
 Akisaki	A+	2×	7/70	  GET
 Richard Nixon	B+	2×	44/70	  GET
 Zlaster's Melancholy for the 70%	A+	3×	50/70	  GET
 Ari	A+	6×	51/70	  GET
 Rae	A	2×	51/70	  GET
 Michael Wallace	A+	3×	51/70	  GET
 Amber Squash	A+	2×	49/70	  GET
 Pietro Franceschi	B+	2×	23/70	  GET
 Cynthia Lam	B-	2×	12/70	  GET
 Reece	A+	4×	53/70	  GET
 Goldendreamer	B-	2×	41/70	  GET
 Lucy Heartfilia	A+	5×	41/70	  GET
 K Kerr	A+	6×	58/70	  GET
 Lavender Janeway	B	3×	19/70	  GET
 Candy Stains	A+	6×	32/70	  GET
 Claude Almonte	A+	3×	46/70	  GET
 Sen Tengoku	D+	2×	11/70	  GET
 Husky Eldridge	A+	2×	34/70	  GET
 Kim_s_walker	A+	2×	43/70	  GET
 Betsy Harper	A	5×	31/70	  GET
 Claire Howard	A+	5×	32/70	  GET
 Nathsic	B	5×	44/70	  GET
 petitevoid	A+	3×	49/70	  GET
 Thunder Bolt	A+	4×	44/70	  GET
 K Soo Hoo	A+	7×	49/70	  GET
 aprilgoo	A+	3×	64/70	  GET
 stainedaether	A+	2×	41/70	  GET
 cinna	B+	3×	24/70	  GET
 Vulpes	A+	5×	48/70	  GET
 Jo Wolf	A+	3×	33/70	  GET
 Tini	A+	4×	49/70	  GET
 Adi	A+	2×	20/70	  GET
 Sgw	A+	2×	34/70	  GET
 James Goulart	A+	5×	46/70	  GET
 Ardy Bondoc	A+	3×	44/70	  GET
 Life is a Lie	A+	5×	32/70	  GET
 Kyla Ifurung	A-	2×	28/70	  GET
 Lisa Axelsson	A+	13×	56/70	  GET
 garry	A+	4×	50/70	  GET
 Iliana Petrova (Rabbit)	A+	4×	53/70	  GET
 Brains	A	3×	45/70	  GET
 Eldanil	A	5×	31/70	  GET
 Morgan Caricchio	A+	4×	49/70	  GET
 Kim Cassin	A-	8×	53/70	  GET
 Pamenggay	A+	4×	39/70	  GET
 Johnny Quest	A+	4×	32/70	  GET
 Emily Strasser	A+	3×	52/70	  GET
 TacticalCat	A+	5×	48/70	  GET
 Davidp	A+	7×	52/70	  GET
 Cinna Lawless	A-	3×	44/70	  GET
 Marianna Piacesi	A+	2×	46/70	  GET
 Lewis Cade	A+	6×	54/70	  GET
 Brawndo	A+	2×	36/70	  GET
 Shannon Dehne	A+	2×	43/70	  GET
 Anonymous User	A+	3×	27/70	  GET
 Lauren Wilson	A+	2×	46/70	  GET
 Beetle Milk	A+	2×	58/70	  GET
 Courtney Cortez	A+	2×	16/70	  GET
 Kat Yuki	A+	2×	26/70	  GET
 Samantha Long	A+	7×	70/70	  GET
 Qilin	B	3×	53/70	  GET
 Agnes Lazo	A+	2×	44/70	  GET
 Screaming seduction	A+	4×	32/70	  GET
 Robin Bray	A+	8×	65/70	  GET
 Hungry Druid	A+	6×	63/70	  GET
 No0126	A+	5×	45/70	  GET
 Marelle	A+	6×	53/70	  GET
 Nicodeamus	A+	3×	51/70	  GET
 Nick Arbeiter	A	2×	27/70	  GET
 Kaatje	A+	5×	50/70	  GET
 Tink	A-	9×	44/70	  GET
 Thehave	B+	1×	20/70	  GET
 Marcia Lee	B+	1×	24/70	  GET
 Rosalyn	C+	1×	19/70	  GET
 Kimberly Aumada	A+	1×	1/70	  GET
 WingDings Gaster	A+	1×	32/70	  GET
 John Nero Solace Foulds J.U.B.	A+	1×	9/70	  GET
 Mitchum	B	1×	24/70	  GET
 Neonmobster_19571	A+	1×	22/70	  GET
 Shmoo92	A+	1×	5/70	  GET
 Jape Niggits	B	1×	18/70	  GET
 Sophia Caucci	B+	1×	7/70	  GET
 Bear Daniels	A+	1×	22/70	  GET
 B Zell	A+	1×	20/70	  GET
 Lapras	B+	1×	14/70	  GET
 Zachary Nicoll	A+	1×	19/70	  GET
 Freyja Miguel	B+	1×	33/70	  GET
 Drew Stone	A+	1×	22/70	  GET
 Anayalimaindianedota lazo	A+	1×	10/70	  GET
 Strive	C+	1×	22/70	  GET
 Macaan	A+	1×	2/70	  GET
 Eugene J	A-	1×	19/70	  GET
 Jennifer Haynes	A+	1×	47/70	  GET
 Sarah Morrison	B+	1×	27/70	  GET
 Max Z	A-	1×	6/70	  GET
 Johnathan Tsui	A+	1×	23/70	  GET
 xephia	B	1×	3/70	  GET
 Kelley Powell	A+	1×	31/70	  GET
 Tanksoul	D+	1×	2/70	  GET
 Ellie Kerr	A+	1×	43/70	  GET
 Matt	A+	1×	7/70	  GET
 Lola Heart	A+	1×	34/70	  GET
 Gabrielle G	A+	1×	19/70	  GET
 Neonmobster_18268	D+	1×	18/70	  GET
 Kim	A+	1×	2/70	  GET
 MAD 420	A-	1×	17/70	  GET
 I10kz	A+	1×	47/70	  GET
 Emu Egger	A+	1×	39/70	  GET
 Ayumi	A+	1×	2/70	  GET
 Benedetta Scardina	A	1×	28/70	  GET
 Kristina Brungard	A	1×	28/70	  GET
 Luke Kivell	C-	1×	5/70	  GET
 Nicole Borchers	B	1×	39/70	  GET
 juju 98	A+	1×	40/70	  GET
 Sync Atk - Trade me!	A+	1×	9/70	  GET
 Trader Jill	A+	1×	11/70	  GET
 Natasha Boehm	B+	1×	15/70	  GET
 Neonmobster_19607	A+	1×	27/70	  GET
 Fitzgerald W	A+	1×	19/70	  GET
 Neonmobster_11744	A+	1×	20/70	  GET
 Lucaiver	A+	1×	7/70	  GET
 Kaii	A+	1×	30/70	  GET
 Amanda Busby	A+	1×	28/70	  GET
 Collector32	A+	1×	2/70	  GET
 DeltaPeng	A+	1×	21/70	  GET
 Neonmobster_17646	A+	1×	9/70	  GET
 Naseilis	B	1×	5/70	  GET
 James Jang	A+	1×	17/70	  GET
 Ray Ross	A+	1×	31/70	  GET
 Toshiro	F	1×	12/70	  GET
 Alvasaur {PM FOR TRADE}	A+	1×	2/70	  GET
 Sweettartsgirl777	A+	1×	2/70	  GET
