Accessed on Wed Sep 14 2016 13:45:54 GMT-0700 (PDT)
 
×

79 Owners Of Ant
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"SUNFLOW UNLIMITED"
COMPLETION
 Hazydream	A+	2×	55/70	  GET
 Robin Bray	A+	3×	65/70	  GET
 Hungry Druid	A+	3×	63/70	  GET
 Claude Almonte	A+	2×	46/70	  GET
 Speedygirl	A	2×	38/70	  GET
 Aria DuFreak	A+	3×	61/70	  GET
 James Goulart	A+	2×	46/70	  GET
 TacticalCat	A+	2×	48/70	  GET
 Alejandro Serrano	A+	2×	52/70	  GET
 Brawndo	A+	3×	36/70	  GET
 Ari	A+	2×	51/70	  GET
 aprilgoo	A+	2×	64/70	  GET
 I10kz	A+	6×	47/70	  GET
 Rae	A	2×	51/70	  GET
 Freyja Miguel	B+	2×	33/70	  GET
 Iliana Petrova (Rabbit)	A+	2×	53/70	  GET
 spooningbards	A+	3×	52/70	  GET
 Ardy Bondoc	A+	3×	44/70	  GET
 Cinna Lawless	A-	2×	44/70	  GET
 Marelle	A+	3×	53/70	  GET
 Lewis Cade	A+	3×	54/70	  GET
 Samantha Long	A+	3×	70/70	  GET
 Ellie Kerr	A+	2×	43/70	  GET
 Lauren Wilson	A+	2×	46/70	  GET
 Rynn Hanna	A+	2×	48/70	  GET
 Kaii	A+	1×	30/70	  GET
 Candy Stains	A+	1×	32/70	  GET
 Eugene J	A-	1×	19/70	  GET
 Zlaster's Melancholy for the 70%	A+	1×	50/70	  GET
 Brains	A	1×	45/70	  GET
 Jo Wolf	A+	1×	33/70	  GET
 cinna	B+	1×	24/70	  GET
 No0126	A+	1×	45/70	  GET
 Richard Nixon	B+	1×	44/70	  GET
 Zoe TwoDots	A+	1×	25/70	  GET
 Strive	C+	1×	22/70	  GET
 stainedaether	A+	1×	41/70	  GET
 Kim_s_walker	A+	1×	43/70	  GET
 Aivel :)	A+	1×	48/70	  GET
 K Kerr	A+	1×	58/70	  GET
 Dogmom	A+	1×	46/70	  GET
 Eldanil	A	1×	31/70	  GET
 Qilin	B	1×	53/70	  GET
 Angel neon Kittycat killa	C	1×	31/70	  GET
 Agnes Lazo	A+	1×	44/70	  GET
 Ray Ross	A+	1×	31/70	  GET
 petitevoid	A+	1×	49/70	  GET
 K Soo Hoo	A+	1×	49/70	  GET
 Beetle Milk	A+	1×	58/70	  GET
 garry	A+	1×	50/70	  GET
 Kim Cassin	A-	1×	53/70	  GET
 Lucy Heartfilia	A+	1×	41/70	  GET
 Emu Egger	A+	1×	39/70	  GET
 Michael Wallace	A+	1×	51/70	  GET
 Jennifer Haynes	A+	1×	47/70	  GET
 juju 98	A+	1×	40/70	  GET
 Elizabeth says There'sNoPlaceLikeOldNM	C-	1×	52/70	  GET
 Kaatje	A+	1×	50/70	  GET
 Nicodeamus	A+	1×	51/70	  GET
 Claire Howard	A+	1×	32/70	  GET
 Amber Squash	A+	1×	49/70	  GET
 Tini	A+	1×	49/70	  GET
 Drew Stone	A+	1×	22/70	  GET
 Lavender Janeway	B	1×	19/70	  GET
 Amanda Ilovecatcards	A+	1×	40/70	  GET
 Pamenggay	A+	1×	39/70	  GET
 Sesamestreet_john	D+	1×	19/70	  GET
 nomthebindlepunk	F	1×	10/70	  GET
 Shannon Dehne	A+	1×	43/70	  GET
 Davidp	A+	1×	52/70	  GET
 Neoncard Deals	A+	1×	16/70	  GET
 Lisa Axelsson	A+	1×	56/70	  GET
 James Jang	A+	1×	17/70	  GET
 Lean Robledo	A	1×	2/70	  GET
 Vulpes	A+	1×	48/70	  GET
 Life is a Lie	A+	1×	32/70	  GET
 Emily Strasser	A+	1×	52/70	  GET
 Courtney Cortez	A+	1×	16/70	  GET
 Matt	A+	1×	7/70	  GET
