Accessed on Wed Sep 14 2016 13:42:16 GMT-0700 (PDT)
 
×

106 Owners Of Kick Those Ants
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"SUNFLOW UNLIMITED"
COMPLETION
 Strive	C+	2×	22/70	  GET
 Amber Squash	A+	2×	49/70	  GET
 Beetle Milk	A+	2×	58/70	  GET
 Jo Wolf	A+	2×	33/70	  GET
 Kim Cassin	A-	5×	53/70	  GET
 Aria DuFreak	A+	5×	61/70	  GET
 Lisa Axelsson	A+	3×	56/70	  GET
 petitevoid	A+	2×	49/70	  GET
 Rynn Hanna	A+	2×	48/70	  GET
 James Goulart	A+	3×	46/70	  GET
 Hungry Druid	A+	3×	63/70	  GET
 Dogmom	A+	3×	46/70	  GET
 Iliana Petrova (Rabbit)	A+	3×	53/70	  GET
 Claude Almonte	A+	2×	46/70	  GET
 Emily Strasser	A+	2×	52/70	  GET
 Michael Wallace	A+	2×	51/70	  GET
 Aivel :)	A+	2×	48/70	  GET
 Samantha Long	A+	6×	70/70	  GET
 TacticalCat	A+	3×	48/70	  GET
 Stravabro	B	5×	32/70	  GET
 K Kerr	A+	3×	58/70	  GET
 Speedygirl	A	2×	38/70	  GET
 Tink	A-	3×	45/70	  GET
 Marelle	A+	5×	53/70	  GET
 Alejandro Serrano	A+	3×	52/70	  GET
 Vulpes	A+	2×	48/70	  GET
 Pamenggay	A+	2×	39/70	  GET
 Rae	A	4×	51/70	  GET
 garry	A+	3×	50/70	  GET
 Ari	A+	2×	51/70	  GET
 I10kz	A+	2×	47/70	  GET
 Jennifer Haynes	A+	2×	47/70	  GET
 Davidp	A+	6×	52/70	  GET
 Ardy Bondoc	A+	2×	44/70	  GET
 Hazydream	A+	3×	55/70	  GET
 K Soo Hoo	A+	2×	49/70	  GET
 Life is a Lie	A+	2×	32/70	  GET
 Richard Nixon	B+	2×	44/70	  GET
 Lewis Cade	A+	4×	54/70	  GET
 Elizabeth says There'sNoPlaceLikeOldNM	C-	2×	52/70	  GET
 Robin Bray	A+	5×	65/70	  GET
 Johnathan Tsui	A+	1×	23/70	  GET
 Amanda Ilovecatcards	A+	1×	40/70	  GET
 nomthebindlepunk	F	1×	10/70	  GET
 Lauren Wilson	A+	1×	46/70	  GET
 Adam McFall	A+	1×	34/70	  GET
 spooningbards	A+	1×	52/70	  GET
 Kim_s_walker	A+	1×	43/70	  GET
 Natasha Boehm	B+	1×	15/70	  GET
 Nicole Borchers	B	1×	39/70	  GET
 Candy Stains	A+	1×	32/70	  GET
 DeltaPeng	A+	1×	21/70	  GET
 Kesart	A+	1×	2/70	  GET
 WingDings Gaster	A+	1×	32/70	  GET
 Tessa Sykes	B	1×	14/70	  GET
 Nick Arbeiter	A	1×	27/70	  GET
 Thunder Bolt	A+	1×	44/70	  GET
 Mitchum	B	1×	24/70	  GET
 MAD 420	A-	1×	17/70	  GET
 Goldendreamer	B-	1×	41/70	  GET
 Highdonut	B+	1×	9/70	  GET
 Claire Howard	A+	1×	32/70	  GET
 Reece	A+	1×	53/70	  GET
 Darin Grechus	A+	1×	2/70	  GET
 Zlaster's Melancholy for the 70%	A+	1×	50/70	  GET
 Brains	A	1×	45/70	  GET
 Neonmobster_17646	A+	1×	9/70	  GET
 Qilin	B	1×	53/70	  GET
 aprilgoo	A+	1×	64/70	  GET
 Jennifer P.	B+	1×	2/70	  GET
 Kaii	A+	1×	30/70	  GET
 Krystol Ruiz	A+	1×	11/70	  GET
 Ellie Kerr	A+	1×	43/70	  GET
 Nicodeamus	A+	1×	51/70	  GET
 Gabrielle G	A+	1×	19/70	  GET
 Brawndo	A+	1×	36/70	  GET
 Kyla Ifurung	A-	1×	28/70	  GET
 Adi	A+	1×	20/70	  GET
 Joejoed	B	1×	9/70	  GET
 Laura	A-	1×	2/70	  GET
 Sweettartsgirl777	A+	1×	2/70	  GET
 Nathsic	B	1×	44/70	  GET
 cinna	B+	1×	24/70	  GET
 Eldanil	A	1×	31/70	  GET
 Kelley Powell	A+	1×	31/70	  GET
 Reese	C	1×	2/70	  GET
 Marianna Piacesi	A+	1×	46/70	  GET
 Toshiro	F	1×	12/70	  GET
 Ms. Marie Mac	A+	1×	46/70	  GET
 No0126	A+	1×	45/70	  GET
 Tini	A+	1×	49/70	  GET
 Sushi Galactic :3	D	1×	6/70	  GET
 Jape Niggits	B	1×	18/70	  GET
 Morgan Caricchio	A+	1×	49/70	  GET
 Zachary Nicoll	A+	1×	19/70	  GET
 juju 98	A+	1×	40/70	  GET
 Tanbros	A+	1×	32/70	  GET
 Wumbo Boodoodoodoo	A+	1×	42/70	  GET
 Sgw	A+	1×	34/70	  GET
 Lola Heart	A+	1×	34/70	  GET
 Jackjackatomatom	B-	1×	15/70	  GET
 EatmyWonderbao Yomyomyom	B	1×	21/70	  GET
 Sabotage	A	1×	13/70	  GET
 Neoncard Deals	A+	1×	16/70	  GET
 Kaatje	A+	1×	50/70	  GET
 Kowaiixia	A+	1×	33/70	  GET
