Accessed on Wed Sep 14 2016 13:56:18 GMT-0700 (PDT)
 
×

19 Owners Of The Sketches
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"SUNFLOW UNLIMITED"
COMPLETION
 Elizabeth says There'sNoPlaceLikeOldNM	C-	1×	52/70	  GET
 Angel neon Kittycat killa	C	1×	31/70	  GET
 Beetle Milk	A+	1×	58/70	  GET
 Iliana Petrova (Rabbit)	A+	1×	53/70	  GET
 Rynn Hanna	A+	1×	48/70	  GET
 Agnes Lazo	A+	1×	44/70	  GET
 Qilin	B	1×	53/70	  GET
 Robin Bray	A+	1×	65/70	  GET
 Kelley Powell	A+	1×	31/70	  GET
 juju 98	A+	1×	40/70	  GET
 Samantha Long	A+	1×	70/70	  GET
 Alejandro Serrano	A+	1×	52/70	  GET
 Lisa Axelsson	A+	1×	56/70	  GET
 Reece	A+	1×	53/70	  GET
 Zlaster's Melancholy for the 70%	A+	1×	50/70	  GET
 Aria DuFreak	A+	1×	61/70	  GET
 aprilgoo	A+	1×	64/70	  GET
 Tini	A+	1×	49/70	  GET
 Morgan Caricchio	A+	1×	49/70	  GET
