Accessed on Sun Oct 09 2016 10:45:10 GMT-0700 (PDT)
 
×

2288 Owners Of Avatar of Intrigue
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"AVATARS"
COMPLETION
 TheBeastie Last name	B	2×	17/53	  GET
 Jhoremae Eguia	C+	2×	33/53	  GET
 Sami Khodir	C+	3×	45/53	  GET
 David Chhuon	A+	5×	41/53	  GET
 Oliver Sparkes	A+	10×	49/53	  GET
 Oracle Saturn	A	4×	43/53	  GET
 Scorpiongamer101	A+	2×	34/53	  GET
 Shääd Kunkle	A+	2×	44/53	  GET
 Jeff Helton	A+	5×	46/53	  GET
 Pedro.kutsmi	A+	3×	40/53	  GET
 Speedy	A+	2×	42/53	  GET
 Hewer Situ	A+	2×	38/53	  GET
 Alberto López	A-	2×	36/53	  GET
 Craftsman42	A+	7×	47/53	  GET
 Taty xD	A	2×	37/53	  GET
 Batsy	A	5×	42/53	  GET
 Kristina Wideman	A+	2×	41/53	  GET
 James Walz	A-	2×	38/53	  GET
 Pequisa	A+	5×	53/53	  GET
 Apollo00063	A+	4×	43/53	  GET
 KingOGKonaan	B	3×	40/53	  GET
 Ricardo Thomé	A+	2×	34/53	  GET
 Brandon	A	4×	39/53	  GET
 Darin Grechus	A	3×	47/53	  GET
 Jennifer Dean	A+	3×	45/53	  GET
 Neonmobster_17732	A	4×	43/53	  GET
 mad inmotion	D	2×	13/53	  GET
 Glas Galahad	C	3×	24/53	  GET
 Morfinjes	A+	2×	36/53	  GET
 Jkliew	B-	2×	27/53	  GET
 Leslie Guevara	A+	2×	36/53	  GET
 Kaizla Wheaton	A+	6×	53/53	  GET
 Squirrelization	A+	3×	38/53	  GET
 Alexandra Campbell	A+	3×	38/53	  GET
 Kleeko	A+	2×	41/53	  GET
 Bevanbiko	A+	3×	47/53	  GET
 Red Dragonfly	A+	2×	44/53	  GET
 James Howarth	A+	2×	45/53	  GET
 Jakeb114	A-	4×	42/53	  GET
 H2OMelon	A+	3×	44/53	  GET
 Sunastra TheGreat	A	2×	42/53	  GET
 Verne Ahyong	A+	2×	44/53	  GET
 SilentHeart	A+	2×	35/53	  GET
 Sltheringirl92	A+	2×	39/53	  GET
 Mack Caddy	A+	5×	46/53	  GET
 Tallytone	A+	2×	35/53	  GET
 Lean Robledo	A+	2×	50/53	  GET
 Irishgirloriginal	A-	6×	42/53	  GET
 Crass	A	3×	44/53	  GET
 Adrian Ionita	A+	3×	42/53	  GET
 Ben Jenkinson	A+	6×	46/53	  GET
 Dvil	A-	3×	43/53	  GET
 DoctorFluffy	A+	5×	44/53	  GET
 Ron Martin	A+	5×	42/53	  GET
 Juanita Bonvillain	A+	2×	39/53	  GET
 Alex R	A+	4×	36/53	  GET
 Jack LaFleur	A+	2×	46/53	  GET
 Hunter Sharum	A+	4×	45/53	  GET
 Joseph Han	A+	4×	41/53	  GET
 Circuskidg	A+	4×	47/53	  GET
 Tanna	A+	2×	41/53	  GET
 Juan Calavera	A+	2×	42/53	  GET
 Julia	A+	4×	37/53	  GET
 David Jimenez	A+	3×	48/53	  GET
 Shadowslayer900	A+	2×	35/53	  GET
 PK Amnuay	A+	3×	49/53	  GET
 Thunder Soul	A+	4×	42/53	  GET
 Giovannimaghi92	A+	7×	45/53	  GET
 Neonmobster_4493	A+	5×	44/53	  GET
 Bill Rockman	A	2×	34/53	  GET
 Santiago Gomez	A+	3×	47/53	  GET
 Neonmobster_19558	A+	3×	40/53	  GET
 Mike Stickel	A+	3×	46/53	  GET
 BlueCat	A+	2×	38/53	  GET
 Cramer	A+	4×	49/53	  GET
 Scoutboy	A+	4×	42/53	  GET
 Erised	A+	2×	41/53	  GET
 Keely Rivers	B+	2×	35/53	  GET
 Chance Mayhugh	B	3×	43/53	  GET
 Eyesofdoma	A+	3×	40/53	  GET
 Stephany Senpai	B	3×	33/53	  GET
 Ezylryb	A	7×	41/53	  GET
 Bre	A+	5×	41/53	  GET
 Dracken	A+	6×	48/53	  GET
 Narby	A+	5×	53/53	  GET
 Spyke	A+	2×	48/53	  GET
 Hey	B+	2×	35/53	  GET
 Vincent Hyde	A+	4×	45/53	  GET
 Colin P	A+	4×	46/53	  GET
 Tom Oude Egberink	A+	3×	46/53	  GET
 Destielgurl	B+	2×	34/53	  GET
 Emory	A+	2×	51/53	  GET
 CoolVibranium	A+	2×	44/53	  GET
 Jimjimbobim	A+	3×	45/53	  GET
 Kilian	A+	2×	53/53	  GET
 Drag0n630	C	5×	41/53	  GET
 David Vejlgaard	A-	2×	41/53	  GET
 Max Nachlinger	A+	2×	41/53	  GET
 Jimena Palma de Gyvés	A	2×	31/53	  GET
 Rachel	A+	4×	45/53	  GET
 A_tanouye	A+	3×	34/53	  GET
 Ben Crocker	A	5×	49/53	  GET
 Елена Гришаева	A+	3×	41/53	  GET
 David Sepel	A+	3×	46/53	  GET
 Tony Bolony	A+	4×	53/53	  GET
 Joe Braz	A+	4×	41/53	  GET
 Aquavire	D	2×	32/53	  GET
 Ako RalphLopez	A+	2×	38/53	  GET
 Jinxedcross	A+	3×	46/53	  GET
 Air	A+	3×	43/53	  GET
 Mary Jensen	A+	2×	37/53	  GET
 Tanksoul	B	4×	49/53	  GET
 Tyler Anderson	A+	6×	48/53	  GET
 Lolo Le Treize	A+	3×	44/53	  GET
 Tansy Longoria	C	2×	10/53	  GET
 Jv1000m	B	2×	35/53	  GET
 Andrew Johnson	A+	4×	41/53	  GET
 Reallybored	A+	8×	46/53	  GET
 Tejas Prithvi	A+	3×	45/53	  GET
 Michael H	A+	2×	38/53	  GET
 Q.g24	C+	2×	34/53	  GET
 Mark Fogle	A+	3×	41/53	  GET
 Hayabusa123	A+	4×	49/53	  GET
 Justin Fedick	A+	3×	37/53	  GET
 Marcio Barrios	A+	7×	47/53	  GET
 RedCrow	A+	3×	45/53	  GET
 Faustianhero	A+	9×	45/53	  GET
 Bucky Bolo	B-	2×	30/53	  GET
 Edrian Villanueva	C	2×	37/53	  GET
 Ananirasbelsky	A	2×	36/53	  GET
 Jade Jackson	A+	2×	32/53	  GET
 Megan Schumacher	A+	5×	43/53	  GET
 Tibalt	A+	3×	39/53	  GET
 L8ncoln	A+	3×	39/53	  GET
 Keano Inonog	B+	3×	29/53	  GET
 Naud van Dalen	A+	3×	43/53	  GET
 Sombrus666	A+	6×	41/53	  GET
 Runic Gates	B	3×	32/53	  GET
 Mtgproxymage	A+	5×	38/53	  GET
 Alexis Greenleaf	A+	4×	39/53	  GET
 Firstiand Chaniago	A+	2×	41/53	  GET
 Ty Smart	A	2×	40/53	  GET
 Mr E	A+	3×	42/53	  GET
 Adrian F	A+	3×	37/53	  GET
 John Paul George Eguia	B+	3×	40/53	  GET
 Kittenpunch	A	3×	32/53	  GET
 Gabrielle G-W	A+	2×	32/53	  GET
 Burnettjoey	A	5×	42/53	  GET
 Bonnie Melton	F+	2×	36/53	  GET
