Accessed on Wed Sep 14 2016 16:19:53 GMT-0700 (PDT)
 
×

134 Owners Of Unmoved
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"SUNFLOW UNLIMITED"
COMPLETION
 Robin Bray	A+	9×	65/70	  GET
 Speedygirl	A	5×	38/70	  GET
 Jape Niggits	B	2×	18/70	  GET
 Hazydream	A+	11×	55/70	  GET
 Vulpes	A+	8×	48/70	  GET
 Agnes Lazo	A+	3×	44/70	  GET
 Neonmobster_19571	A+	2×	22/70	  GET
 Stravabro	B	5×	32/70	  GET
 WingDings Gaster	A+	2×	32/70	  GET
 Claire Howard	A+	3×	32/70	  GET
 K Kerr	A+	5×	58/70	  GET
 garry	A+	3×	50/70	  GET
 Ardy Bondoc	A+	2×	44/70	  GET
 Richard Nixon	B+	2×	44/70	  GET
 Ms. Marie Mac	A+	2×	46/70	  GET
 Gabrielle G	A+	2×	19/70	  GET
 Nathsic	B	3×	44/70	  GET
 Michael Wallace	A+	4×	51/70	  GET
 John Nero Solace Foulds J.U.B.	A+	3×	9/70	  GET
 Johnathan Tsui	A+	2×	23/70	  GET
 Betsy Harper	A-	4×	31/70	  GET
 Lola Heart	A+	3×	34/70	  GET
 Rosalyn	C+	3×	19/70	  GET
 Owen Valzer	A+	3×	16/70	  GET
 Claude Almonte	A+	7×	46/70	  GET
 Kowaiixia	A+	2×	33/70	  GET
 Thunder Bolt	A+	2×	44/70	  GET
 Sen Tengoku	D+	2×	11/70	  GET
 Cinna Lawless	A-	3×	44/70	  GET
 Sarah Morrison	B+	3×	27/70	  GET
 Emily Strasser	A+	4×	52/70	  GET
 Dogmom	A+	4×	46/70	  GET
 Micah Kim-Bustillos	A+	2×	19/70	  GET
 No0126	A+	8×	45/70	  GET
 Shannon Dehne	A+	2×	46/70	  GET
 Rae	A	10×	51/70	  GET
 Nicodeamus	A+	5×	51/70	  GET
 Alejandro Serrano	A+	9×	52/70	  GET
 Angel neon Kittycat killa	C	3×	31/70	  GET
 Fitzgerald W	A+	2×	19/70	  GET
 Thehave	B+	2×	20/70	  GET
 Tanbros	A+	2×	32/70	  GET
 Kat Yuki	A+	2×	26/70	  GET
 Goldendreamer	B-	4×	41/70	  GET
 James Goulart	A+	5×	46/70	  GET
 Amber Squash	A+	2×	49/70	  GET
 petitevoid	A+	2×	49/70	  GET
 Pamenggay	A+	3×	39/70	  GET
 aprilgoo	A+	7×	64/70	  GET
 I10kz	A+	5×	47/70	  GET
 Pietro Franceschi	B+	4×	23/70	  GET
 Anonymous User	A+	2×	27/70	  GET
 TacticalCat	A+	3×	48/70	  GET
 Samantha Long	A+	18×	70/70	  GET
 K Soo Hoo	A+	9×	49/70	  GET
 Lisa Axelsson	A+	9×	56/70	  GET
 Lewis Cade	A+	8×	54/70	  GET
 Marelle	A+	4×	53/70	  GET
 Wumbo Boodoodoodoo	A+	3×	42/70	  GET
 Screaming seduction	A+	5×	32/70	  GET
 Ari	A+	6×	51/70	  GET
 Kim_s_walker	A+	2×	43/70	  GET
 Kristina Brungard	A	3×	28/70	  GET
 Marianna Piacesi	A+	4×	46/70	  GET
 Elizabeth says There'sNoPlaceLikeOldNM	C-	4×	52/70	  GET
 Eldanil	A	8×	31/70	  GET
 Ellie Kerr	A+	3×	43/70	  GET
 Morgan Caricchio	A+	2×	49/70	  GET
 Aivel :)	A+	5×	48/70	  GET
 Kim Cassin	A-	5×	53/70	  GET
 Nicole Borchers	B	2×	39/70	  GET
 Jo Wolf	A+	2×	33/70	  GET
 Adam McFall	A+	4×	34/70	  GET
 Kaatje	A+	2×	50/70	  GET
 Rynn Hanna	A+	7×	48/70	  GET
 Candy Stains	A+	3×	32/70	  GET
 Iliana Petrova (Rabbit)	A+	8×	53/70	  GET
 Hungry Druid	A+	6×	63/70	  GET
 stainedaether	A+	4×	41/70	  GET
 Lucy Heartfilia	A+	5×	41/70	  GET
 Jennifer Haynes	A+	3×	47/70	  GET
 Husky Eldridge	A+	2×	34/70	  GET
 Aria DuFreak	A+	6×	61/70	  GET
 Beetle Milk	A+	3×	58/70	  GET
 Reece	A+	3×	53/70	  GET
 Mitchum	B	2×	24/70	  GET
 Zlaster's Melancholy for the 70%	A+	6×	50/70	  GET
 Davidp	A+	8×	52/70	  GET
 Tink	A-	5×	45/70	  GET
 xephia	B	1×	3/70	  GET
 Jackjackatomatom	B-	1×	15/70	  GET
 DeltaPeng	A+	1×	21/70	  GET
 Emu Egger	A+	1×	39/70	  GET
 Highdonut	B+	1×	9/70	  GET
 James Jang	A+	1×	17/70	  GET
 Kyle	A+	1×	8/70	  GET
 Hungryman	A+	1×	8/70	  GET
 Iwasonabox	A+	1×	4/70	  GET
 Tessa Sykes	B	1×	14/70	  GET
 Rallopolloq	A	1×	4/70	  GET
 Kelley Powell	A+	1×	31/70	  GET
 juju 98	A+	1×	40/70	  GET
 Marblepop	B	1×	15/70	  GET
 Qilin	B	1×	53/70	  GET
 Kyla Ifurung	A-	1×	28/70	  GET
 Sgw	A+	1×	34/70	  GET
 Lauren Wilson	A+	1×	46/70	  GET
 Johnny Quest	A+	1×	32/70	  GET
 Andrew Starks	A+	1×	2/70	  GET
 Strive	C+	1×	22/70	  GET
 Carmon Davis	A-	1×	2/70	  GET
 Trader Jill	A+	1×	11/70	  GET
 Life is a Lie	A+	1×	32/70	  GET
 Amanda Ilovecatcards	A+	1×	40/70	  GET
 Benedetta Scardina	A	1×	28/70	  GET
 Feydeneb	C	1×	6/70	  GET
 Neoncard Deals	A+	1×	16/70	  GET
 Kaii	A+	1×	30/70	  GET
 Neonmobster_19607	A+	1×	27/70	  GET
 Zachary Nicoll	A+	1×	19/70	  GET
 Tini	A+	1×	49/70	  GET
 Rue	A+	1×	8/70	  GET
 Brains	A	1×	45/70	  GET
 Neonmobster_17646	A+	1×	9/70	  GET
 Colin McNeil	A+	1×	12/70	  GET
 Brawndo	A+	1×	36/70	  GET
 Courtney Cortez	A+	1×	16/70	  GET
 Duncan Venus	A+	1×	5/70	  GET
 Freyja Miguel	B+	1×	33/70	  GET
 Drew Stone	A+	1×	22/70	  GET
 Bear Daniels	A+	1×	22/70	  GET
 spooningbards	A+	1×	53/70	  GET
 cinna	B+	1×	24/70	  GET
 Eugene J	A-	1×	19/70	  GET
