Accessed on Wed Sep 14 2016 16:36:03 GMT-0700 (PDT)
 
×

87 Owners Of You Can't Stand to See Me LEAF
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"SUNFLOW UNLIMITED"
COMPLETION
 Elizabeth says There'sNoPlaceLikeOldNM	C-	2×	52/70	  GET
 Tink	A-	3×	45/70	  GET
 Hungry Druid	A+	4×	63/70	  GET
 Beetle Milk	A+	2×	58/70	  GET
 Sesamestreet_john	D+	4×	19/70	  GET
 Robin Bray	A+	3×	65/70	  GET
 Speedygirl	A	2×	38/70	  GET
 Nathsic	B	2×	44/70	  GET
 Hazydream	A+	3×	55/70	  GET
 Ms. Marie Mac	A+	2×	46/70	  GET
 Davidp	A+	4×	52/70	  GET
 James Goulart	A+	2×	46/70	  GET
 K Soo Hoo	A+	2×	49/70	  GET
 petitevoid	A+	2×	49/70	  GET
 Lisa Axelsson	A+	2×	56/70	  GET
 Nicodeamus	A+	2×	51/70	  GET
 Iliana Petrova (Rabbit)	A+	2×	53/70	  GET
 K Kerr	A+	3×	58/70	  GET
 I10kz	A+	5×	47/70	  GET
 Rae	A	4×	51/70	  GET
 garry	A+	2×	50/70	  GET
 Life is a Lie	A+	3×	32/70	  GET
 Aria DuFreak	A+	4×	61/70	  GET
 Adi	A+	1×	20/70	  GET
 Jo Wolf	A+	1×	33/70	  GET
 Hungryman	A+	1×	8/70	  GET
 Kaatje	A+	1×	50/70	  GET
 Nicole Borchers	B	1×	39/70	  GET
 Kristina Brungard	A	1×	28/70	  GET
 No0126	A+	1×	45/70	  GET
 Marelle	A+	1×	53/70	  GET
 Lewis Cade	A+	1×	54/70	  GET
 WingDings Gaster	A+	1×	32/70	  GET
 Lucy Heartfilia	A+	1×	41/70	  GET
 Anayalimaindianedota lazo	A+	1×	10/70	  GET
 Johnny Quest	A+	1×	32/70	  GET
 Neonmobster_18268	D+	1×	18/70	  GET
 Husky Eldridge	A+	1×	34/70	  GET
 Kaii	A+	1×	30/70	  GET
 Zlaster's Melancholy for the 70%	A+	1×	50/70	  GET
 Larisse	A+	1×	2/70	  GET
 Amber Squash	A+	1×	49/70	  GET
 Aivel :)	A+	1×	48/70	  GET
 Johnathan Tsui	A+	1×	23/70	  GET
 Samantha Long	A+	1×	70/70	  GET
 Goldendreamer	B-	1×	41/70	  GET
 Jennifer Haynes	A+	1×	47/70	  GET
 Brains	A	1×	45/70	  GET
 Jerome	A+	1×	8/70	  GET
 Amanda Busby	A+	1×	28/70	  GET
 aprilgoo	A+	1×	64/70	  GET
 Brandonn Davis	A+	1×	8/70	  GET
 Zachary Nicoll	A+	1×	19/70	  GET
 Richard Nixon	B+	1×	44/70	  GET
 Benedetta Scardina	A	1×	28/70	  GET
 TacticalCat	A+	1×	48/70	  GET
 Ari	A+	1×	51/70	  GET
 Claude Almonte	A+	1×	46/70	  GET
 Zoe TwoDots	A+	1×	25/70	  GET
 Cinna Lawless	A-	1×	44/70	  GET
 Reece	A+	1×	53/70	  GET
 Micah Kim-Bustillos	A+	1×	19/70	  GET
 Kim_s_walker	A+	1×	43/70	  GET
 Dogmom	A+	1×	46/70	  GET
 Nick Arbeiter	A	1×	27/70	  GET
 Sophia Caucci	B+	1×	7/70	  GET
 Mitchum	B	1×	24/70	  GET
 Vulpes	A+	1×	48/70	  GET
 Shannon Dehne	A+	1×	46/70	  GET
 Alejandro Serrano	A+	1×	52/70	  GET
 Qilin	B	1×	53/70	  GET
 Sgw	A+	1×	34/70	  GET
 Sarah Morrison	B+	1×	27/70	  GET
 Neonmobster_19607	A+	1×	27/70	  GET
 Michael Wallace	A+	1×	51/70	  GET
 Toshiro	F	1×	12/70	  GET
 Screaming seduction	A+	1×	32/70	  GET
 Modrojojo	C+	1×	3/70	  GET
 Kim Cassin	A-	1×	53/70	  GET
 Ellie Kerr	A+	1×	43/70	  GET
 Tini	A+	1×	49/70	  GET
 spooningbards	A+	1×	53/70	  GET
 Emily Strasser	A+	1×	52/70	  GET
 Lauren Wilson	A+	1×	46/70	  GET
 Marianna Piacesi	A+	1×	46/70	  GET
 Rynn Hanna	A+	1×	48/70	  GET
 Tanbros	A+	1×	32/70	  GET
